experienceLabel,schemaVersion,participantId,runId,dataCollectionConsent,attemptIndex,ddaAlgorithm,age,experience,startedUtc,endedUtc,actualRunDurationSeconds,finalScore,actualMinScrollSpeedReached,actualMaxScrollSpeedReached,actualMinPatternGapReached,actualMaxPatternGapReached,totalPatternsSpawned,veryEasyPatternsSpawned,easyPatternsSpawned,mediumPatternsSpawned,hardPatternsSpawned,expertPatternsSpawned,totalShotsFired,redShotsFired,blueShotsFired,targetsHit,targetsMissed,correctColorHits,wrongColorHits,redTargetsHit,blueTargetsHit,stabilityLostFromWalls,stabilityLostFromMissedTargets,stabilityRecoveredFromHits,wallContactTimeSeconds,lowestStability,finalStability,maxStability,depletionCount,totalDepletedTimeSeconds,targetsSeen,shotsMissed,shotAccuracyPercent,targetHitRatePercent,colorMatchRatePercent,scorePerMinute,wallContactPercentOfRun,stabilityDepletedAtLeastOnce,firstStabilityDepletionTimeSeconds,movementAnalytics.sampleIntervalSeconds,movementAnalytics.sampledDurationSeconds,movementAnalytics.sampleCount,movementAnalytics.headTotalDistance,movementAnalytics.headHorizontalDistance,movementAnalytics.headMaxSpeed,movementAnalytics.headTotalAngularDistance,movementAnalytics.headYawRange,movementAnalytics.headPitchRange,movementAnalytics.headRollRange,movementAnalytics.bodyHorizontalDistance,movementAnalytics.maxBodyOffsetFromStart,movementAnalytics.leftControllerDistance,movementAnalytics.rightControllerDistance,movementAnalytics.totalControllerDistance,movementAnalytics.leftControllerMaxSpeed,movementAnalytics.rightControllerMaxSpeed,tutorialAnalytics.completed,tutorialAnalytics.totalSeconds,tutorialAnalytics.targetStepSeconds,tutorialAnalytics.wallStepSeconds,tutorialAnalytics.targetPausedSeconds,tutorialAnalytics.wallPausedSeconds,postRunFeedback.difficultyRating,postRunFeedback.enjoymentRating,postRunFeedback.frustrationRating,postRunFeedback.motionSickness,postRunFeedback.completed,source_file,source_row,record_key,headset_from_source,run_id,headset_override,session_type,attempt_decision,manual_exclusion_reason,notes,headset_model,structurally_invalid,exclusion_reason,screening_status,strategy,experience_category,active_duration_s,wall_clock_duration_s,final_score,total_patterns_spawned,resolved_targets,normalized_target_score_pct,target_hit_rate_pct,shot_accuracy_pct,color_match_rate_pct,wall_contact_pct,zero_stability_pct,hard_expert_pattern_pct,horizontal_movement_m_per_min,pattern_very_easy_pct,pattern_easy_pct,pattern_medium_pct,pattern_hard_pct,pattern_expert_pct,maximum_scroll_speed_m_s,minimum_pattern_gap_m,difficulty_rating,enjoyment_rating,frustration_rating,difficulty_deviation,feedback_complete,motion_sickness_report
Some,1.3,P-20260719-073659-668AD606,R-20260719-073723-9A82FD86,True,1,PerformanceDda,16,1,2026-07-19T07:37:23.9881680Z,2026-07-19T07:40:54.0051310Z,210.017,4680,2,5.733,2.153,3,42,5,9,14,14,0,793,348,445,259,28,209,50,128,131,97.649,140.0,197.247,2.79,42.608,59.598,100,0,0.0,287,534,32.661,90.244,80.695,1337.035,1.328,False,-1.0,0.1,209.991,1845,50.896,43.597,1.377,3261.567,34.305,50.874,20.84,43.597,0.921,113.824,96.025,209.85,3.195,3.559,True,13.292,1.111,7.277,0.0,0.0,2,4,2,False,True,analytics_full_set1.json,2,analytics_full_set1.json:2,Unknown,R-20260719-073723-9A82FD86,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,Some,209.991,210.017,4680,42,287,81.53310104529616,90.2439024390244,32.66078184110971,80.6949806949807,1.3286283697872765,0.0,33.33333333333333,12.456819577981912,11.904761904761903,21.428571428571427,33.33333333333333,33.33333333333333,0.0,5.733,2.153,2,4,2,1,True,False
Some,1.3,P-20260719-074220-FC0DD36B,R-20260719-074245-6E61F985,True,1,SkillSplitDda,24,1,2026-07-19T07:42:45.0356430Z,2026-07-19T07:46:15.0524520Z,210.017,2850,2,5.5,2.2,3,41,3,30,1,7,0,330,170,160,150,124,135,15,81,69,187.741,50.452,140.0,13.982,0.0,1.806,100,35,76.998,274,180,45.455,54.745,90.0,814.221,6.658,True,24.389,0.1,209.994,1723,16.515,13.967,1.09,3598.793,619.728,106.754,578.886,13.967,0.738,40.564,43.644,84.209,1.668,1.914,True,13.298,3.175,5.164,0.0,0.0,3,3,2,False,True,analytics_full_set1.json,3,analytics_full_set1.json:3,Unknown,R-20260719-074245-6E61F985,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.994,210.017,2850,41,274,52.00729927007299,54.74452554744526,45.45454545454545,90.0,6.65828547482309,36.66676190748308,17.073170731707318,3.990685448155662,7.317073170731707,73.17073170731707,2.4390243902439024,17.073170731707318,0.0,5.5,2.2,3,3,2,0,True,False
None,1.3,P-20260719-084312-FBF69F3C,R-20260719-084336-9AD97336,True,1,PerformanceDda,17,0,2026-07-19T08:43:36.9823220Z,2026-07-19T08:47:06.9972390Z,210.015,4560,2,5.394,2.224,3,40,5,11,11,13,0,944,482,462,252,36,204,48,130,122,9.638,180.0,125.455,0.275,27.914,35.817,100,0,0.0,288,692,26.695,87.5,80.952,1302.765,0.131,False,-1.0,0.1,209.989,1842,44.327,34.398,1.62,1837.551,20.213,16.517,13.455,34.398,1.323,53.242,52.125,105.367,1.579,1.843,True,13.209,0.82,7.499,0.0,0.0,3,5,3,False,True,analytics_full_set1.json,5,analytics_full_set1.json:5,Unknown,R-20260719-084336-9AD97336,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,None,209.989,210.015,4560,40,288,79.16666666666666,87.5,26.69491525423729,80.95238095238095,0.13095924072213308,0.0,32.5,9.828514826967128,12.5,27.500000000000004,27.500000000000004,32.5,0.0,5.394,2.224,3,5,3,0,True,False
None,1.3,P-20260719-084853-9DD0AA57,R-20260719-084917-0433BF01,True,1,SkillSplitDda,18,0,2026-07-19T08:49:17.9958060Z,2026-07-19T08:52:48.0127520Z,210.017,4430,2,5.5,2.2,3,40,1,18,7,14,0,744,374,370,238,60,205,33,117,121,2.932,267.0,172.174,0.084,0.0,2.242,100,10,1.717,298,506,31.989,79.866,86.134,1265.613,0.04,True,199.992,0.1,209.99,1869,53.388,34.873,1.71,3310.53,51.274,38.213,28.487,34.873,1.536,96.955,96.688,193.643,2.556,2.928,True,13.347,3.238,5.139,0.0,0.0,3,4,1,False,True,analytics_full_set1.json,6,analytics_full_set1.json:6,Unknown,R-20260719-084917-0433BF01,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,None,209.99,210.017,4430,40,298,74.32885906040269,79.86577181208054,31.989247311827956,86.1344537815126,0.04000190485261203,0.8176579837135103,35.0,9.964188770893852,2.5,45.0,17.5,35.0,0.0,5.5,2.2,3,4,1,0,True,False
None,1.3,P-20260719-085636-D5F25145,R-20260719-085701-11428E75,True,1,FixedTime,18,0,2026-07-19T08:57:01.8989340Z,2026-07-19T09:00:31.9136670Z,210.015,4340,2,5.5,2.2,3,42,4,12,13,10,3,819,423,396,249,37,185,64,130,119,72.118,160.328,132.446,2.333,0.0,0.0,100,3,2.236,286,570,30.403,87.063,74.297,1239.912,1.111,True,199.888,0.1,209.988,1864,50.354,38.438,1.585,2418.929,35.061,26.141,15.828,38.438,1.113,65.947,72.208,138.155,1.958,2.118,True,13.542,3.501,5.126,0.0,0.194,3,5,1,False,True,analytics_full_set1.json,7,analytics_full_set1.json:7,Unknown,R-20260719-085701-11428E75,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Fixed Time-Based,None,209.988,210.015,4340,42,286,75.87412587412588,87.06293706293707,30.4029304029304,74.29718875502009,1.1110158675733852,1.064822751776292,30.952380952380953,10.982913309331963,9.523809523809524,28.57142857142857,30.952380952380953,23.809523809523807,7.142857142857142,5.5,2.2,3,5,1,0,True,False
Some,1.3,P-20260719-090217-45057288,R-20260719-090242-3BA5890E,True,1,PerformanceDda,17,1,2026-07-19T09:02:42.0827880Z,2026-07-19T09:06:12.1099350Z,210.027,4750,2,6.288,2.057,3,43,3,17,12,11,0,379,198,181,240,40,235,5,123,117,3.913,200.0,161.0,0.112,6.477,57.086,100,0,0.0,280,139,63.325,85.714,97.917,1356.966,0.053,False,-1.0,0.1,210.0,1886,40.698,30.126,1.968,3598.048,35.077,27.875,24.723,30.126,1.296,101.847,97.63,199.477,3.323,3.165,True,13.307,0.626,7.805,0.0,0.0,2,4,1,True,True,analytics_full_set1.json,8,analytics_full_set1.json:8,Unknown,R-20260719-090242-3BA5890E,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,Some,210.0,210.027,4750,43,280,84.82142857142857,85.71428571428571,63.3245382585752,97.91666666666666,0.05333333333333334,0.0,25.581395348837212,8.607428571428573,6.976744186046512,39.53488372093023,27.906976744186046,25.581395348837212,0.0,6.288,2.057,2,4,1,1,True,True
Some,1.3,P-20260719-090727-B21DF268,R-20260719-090751-C6AEDFB5,True,1,SkillSplitDda,17,1,2026-07-19T09:07:51.8605050Z,2026-07-19T09:11:24.2042940Z,212.344,3470,2,5.5,2.2,3,40,1,23,7,9,0,812,404,408,198,79,149,49,98,100,33.891,236.872,175.302,1.162,0.0,4.539,100,22,13.762,277,614,24.384,71.48,75.253,980.486,0.547,True,156.18,0.1,209.984,1854,55.643,38.632,15.315,2461.024,36.713,23.927,19.909,38.632,2.367,65.031,67.124,132.155,13.927,16.414,True,13.338,3.74,4.694,0.0,0.0,2,5,1,False,True,analytics_full_set1.json,9,analytics_full_set1.json:9,Unknown,R-20260719-090751-C6AEDFB5,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,Some,209.984,212.344,3470,40,277,62.63537906137184,71.48014440433214,24.38423645320197,75.25252525252525,0.5533754952758305,6.55383267296556,22.5,11.038555318500455,2.5,57.49999999999999,17.5,22.5,0.0,5.5,2.2,2,5,1,1,True,False
High,1.3,P-20260719-091401-7E0AA6A6,R-20260719-091426-075509FD,True,1,FixedTime,17,2,2026-07-19T09:14:26.4295960Z,2026-07-19T09:17:56.4605610Z,210.031,3650,2,5.5,2.2,3,41,2,13,8,14,4,936,577,359,224,81,141,83,119,105,147.875,119.603,168.007,8.915,0.0,0.529,100,84,20.294,305,712,23.932,73.443,62.946,1042.702,4.245,True,143.792,0.1,209.992,1855,33.333,28.209,1.576,3692.43,74.807,68.786,53.467,28.209,0.983,67.632,89.362,156.993,3.302,3.52,True,13.305,3.78,4.609,0.0,0.0,4,4,2,False,True,analytics_full_set1.json,10,analytics_full_set1.json:10,Unknown,R-20260719-091426-075509FD,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Fixed Time-Based,High,209.992,210.031,3650,41,305,59.83606557377049,73.44262295081967,23.931623931623932,62.94642857142857,4.2453998247552285,9.664177682959352,43.90243902439025,8.060021334146063,4.878048780487805,31.70731707317073,19.51219512195122,34.146341463414636,9.75609756097561,5.5,2.2,4,4,2,1,True,False
None,1.3,P-20260719-092014-60239653,R-20260719-092039-C2ECB570,True,1,PerformanceDda,16,0,2026-07-19T09:20:39.1030710Z,2026-07-19T09:24:14.8401990Z,215.737,2470,2,4.514,2.425,3,29,8,13,8,0,0,506,286,220,134,25,113,21,70,64,203.0,28.0,131.0,9.945,0.0,0.0,100,21,25.928,159,372,26.482,84.277,84.328,686.948,4.61,True,65.82,0.1,209.989,1872,24.289,20.967,14.334,2775.71,206.471,26.73,14.502,20.967,2.733,47.357,46.903,94.259,12.283,11.413,True,13.298,3.941,4.468,0.0,0.0,3,4,1,False,True,analytics_full_set1.json,11,analytics_full_set1.json:11,Unknown,R-20260719-092039-C2ECB570,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Performance-Based DDA,None,209.989,215.737,2470,29,159,77.67295597484278,84.27672955974843,26.48221343873518,84.32835820895522,4.735962359933139,12.347313430703514,0.0,5.990885236845739,27.586206896551722,44.827586206896555,27.586206896551722,0.0,0.0,4.514,2.425,3,4,1,0,True,False
None,1.3,P-20260803-131053-D2ACFBC4,R-20260803-131118-25C444A0,True,1,SkillSplitDda,19,0,2026-08-03T13:11:18.2028750Z,2026-08-03T13:14:48.2091720Z,210.006,4750,2,5.5,2.2,3,41,2,19,6,13,1,835,355,480,272,14,203,69,137,135,191.631,70.0,198.828,5.475,36.882,37.197,100,0,0.0,286,563,32.575,95.105,74.632,1357.102,2.607,False,-1.0,0.1,209.989,1851,43.127,39.152,0.909,3943.264,101.772,75.296,30.386,39.152,1.269,67.68,55.215,122.895,2.504,4.004,True,13.237,1.916,6.403,0.0,0.0,3,4,2,False,True,analytics_full_set1.json,12,analytics_full_set1.json:12,Unknown,R-20260803-131118-25C444A0,Meta Quest 3,participant,auto,,,Meta Quest 3,False,included,included,Skill-Specific DDA,None,209.989,210.006,4750,41,286,83.04195804195804,95.1048951048951,32.5748502994012,74.63235294117648,2.607279428922467,0.0,34.146341463414636,11.186871693279173,4.878048780487805,46.34146341463415,14.634146341463413,31.70731707317073,2.4390243902439024,5.5,2.2,3,4,2,0,True,False
