record_key,source_file,source_row,runId,participantId,startedUtc,attemptIndex,ddaAlgorithm,age,experienceLabel,movementAnalytics.sampledDurationSeconds,actualRunDurationSeconds,tutorialAnalytics.completed,postRunFeedback.completed,headset_model,session_type,attempt_decision,manual_exclusion_reason,screening_status,exclusion_reason,notes
analytics_full_set1.json:1,analytics_full_set1.json,1,R-20260718-072012-651DB08D,P-20260718-071947-B6CEE588,2026-07-18T07:20:12.4378120Z,1,FixedTime,35,Some,191.889,191.917,True,False,Meta Quest 3,researcher_test,auto,,excluded,researcher_staff_demo_or_informal,
analytics_full_set1.json:2,analytics_full_set1.json,2,R-20260719-073723-9A82FD86,P-20260719-073659-668AD606,2026-07-19T07:37:23.9881680Z,1,PerformanceDda,16,Some,209.991,210.017,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:3,analytics_full_set1.json,3,R-20260719-074245-6E61F985,P-20260719-074220-FC0DD36B,2026-07-19T07:42:45.0356430Z,1,SkillSplitDda,24,Some,209.994,210.017,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:4,analytics_full_set1.json,4,R-20260719-083650-1A00CDAC,P-20260719-083625-4DB4FA11,2026-07-19T08:36:50.4936320Z,1,FixedTime,36,Some,209.989,210.016,True,True,Meta Quest 3,demonstration,auto,,excluded,researcher_staff_demo_or_informal,
analytics_full_set1.json:5,analytics_full_set1.json,5,R-20260719-084336-9AD97336,P-20260719-084312-FBF69F3C,2026-07-19T08:43:36.9823220Z,1,PerformanceDda,17,None,209.989,210.015,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:6,analytics_full_set1.json,6,R-20260719-084917-0433BF01,P-20260719-084853-9DD0AA57,2026-07-19T08:49:17.9958060Z,1,SkillSplitDda,18,None,209.99,210.017,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:7,analytics_full_set1.json,7,R-20260719-085701-11428E75,P-20260719-085636-D5F25145,2026-07-19T08:57:01.8989340Z,1,FixedTime,18,None,209.988,210.015,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:8,analytics_full_set1.json,8,R-20260719-090242-3BA5890E,P-20260719-090217-45057288,2026-07-19T09:02:42.0827880Z,1,PerformanceDda,17,Some,210.0,210.027,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:9,analytics_full_set1.json,9,R-20260719-090751-C6AEDFB5,P-20260719-090727-B21DF268,2026-07-19T09:07:51.8605050Z,1,SkillSplitDda,17,Some,209.984,212.344,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:10,analytics_full_set1.json,10,R-20260719-091426-075509FD,P-20260719-091401-7E0AA6A6,2026-07-19T09:14:26.4295960Z,1,FixedTime,17,High,209.992,210.031,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:11,analytics_full_set1.json,11,R-20260719-092039-C2ECB570,P-20260719-092014-60239653,2026-07-19T09:20:39.1030710Z,1,PerformanceDda,16,None,209.989,215.737,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:12,analytics_full_set1.json,12,R-20260803-131118-25C444A0,P-20260803-131053-D2ACFBC4,2026-08-03T13:11:18.2028750Z,1,SkillSplitDda,19,None,209.989,210.006,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:13,analytics_full_set1.json,13,R-20260803-202931-74AE8E33,P-20260803-202857-FC3EDE03,2026-08-03T20:29:31.9893510Z,1,PerformanceDda,22,Some,209.991,210.017,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:14,analytics_full_set1.json,14,R-20260803-203352-78E56646,P-20260803-203327-2416A925,2026-08-03T20:33:52.6562750Z,1,SkillSplitDda,23,Some,209.991,210.018,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:15,analytics_full_set1.json,15,R-20260803-203819-9150C5FD,P-20260803-203751-E6C0090B,2026-08-03T20:38:19.5713240Z,1,FixedTime,19,None,209.977,210.007,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:16,analytics_full_set1.json,16,R-20260803-204306-D213B70C,P-20260803-204241-8C9922A3,2026-08-03T20:43:06.8029010Z,1,PerformanceDda,24,High,209.974,210.001,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:17,analytics_full_set1.json,17,R-20260803-204802-7FB9A22F,P-20260803-204737-AB92EE5F,2026-08-03T20:48:02.2279520Z,1,SkillSplitDda,21,Some,209.989,210.016,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:18,analytics_full_set1.json,18,R-20260803-205226-5A31D015,P-20260803-205159-7557146F,2026-08-03T20:52:26.6278070Z,1,FixedTime,20,None,209.991,210.035,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:19,analytics_full_set1.json,19,R-20260804-075724-00D9EA4C,P-20260804-075659-B3AAD3E3,2026-08-04T07:57:24.4648220Z,1,PerformanceDda,26,Some,209.982,210.41,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:20,analytics_full_set1.json,20,R-20260804-080250-4C74E07B,P-20260804-080225-EBDEEAB4,2026-08-04T08:02:50.0503990Z,1,SkillSplitDda,22,Some,209.973,210.0,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:21,analytics_full_set1.json,21,R-20260719-084347-6A9321AA,P-20260719-084322-D06B3C4E,2026-07-19T08:43:47.3805090Z,1,PerformanceDda,17,Some,209.976,209.991,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:22,analytics_full_set1.json,22,R-20260719-085111-17A32D03,P-20260719-085046-EC540EEA,2026-07-19T08:51:11.0297190Z,1,SkillSplitDda,18,Some,209.956,210.011,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:23,analytics_full_set1.json,23,R-20260719-085745-B9C21BFE,P-20260719-085720-059706F9,2026-07-19T08:57:45.5817730Z,1,FixedTime,18,None,209.998,210.024,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:24,analytics_full_set1.json,24,R-20260719-090312-64B30C1F,P-20260719-090247-DB58EA14,2026-07-19T09:03:12.1919080Z,1,PerformanceDda,32,High,209.982,210.116,True,True,Meta Quest 3,demonstration,auto,,excluded,researcher_staff_demo_or_informal,
analytics_full_set1.json:25,analytics_full_set1.json,25,R-20260719-091012-4EAD5CB0,P-20260719-090744-2DFC2D14,2026-07-19T09:10:12.6750260Z,1,SkillSplitDda,17,Some,210.0,210.026,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:26,analytics_full_set1.json,26,R-20260719-091622-92127A6F,P-20260719-091558-73E68AA2,2026-07-19T09:16:22.8865460Z,1,FixedTime,18,None,209.962,214.823,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:27,analytics_full_set1.json,27,R-20260719-092328-65D9D1AB,P-20260719-092303-0D87983F,2026-07-19T09:23:28.1809840Z,1,PerformanceDda,16,None,209.981,210.01,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:28,analytics_full_set1.json,28,R-20260719-093012-4EB0A2D2,P-20260719-092947-41190A90,2026-07-19T09:30:12.3616150Z,1,SkillSplitDda,18,None,210.0,210.027,True,True,Meta Quest 3,participant,auto,,included,included,
analytics_full_set1.json:29,analytics_full_set1.json,29,R-20260804-072904-22984449,P-20260804-072839-B2918B40,2026-08-04T07:29:04.6018970Z,1,FixedTime,21,High,209.992,210.021,True,True,Meta Quest 3,participant,auto,,included,included,
