run_id,headset_model,session_type,attempt_decision,manual_exclusion_reason,notes
R-20260718-072012-651DB08D,Meta Quest 3,researcher_test,auto,,
R-20260719-073723-9A82FD86,Meta Quest 3,participant,auto,,
R-20260719-074245-6E61F985,Meta Quest 3,participant,auto,,
R-20260719-083650-1A00CDAC,Meta Quest 3,demonstration,auto,,
R-20260719-084336-9AD97336,Meta Quest 3,participant,auto,,
R-20260719-084917-0433BF01,Meta Quest 3,participant,auto,,
R-20260719-085701-11428E75,Meta Quest 3,participant,auto,,
R-20260719-090242-3BA5890E,Meta Quest 3,participant,auto,,
R-20260719-090751-C6AEDFB5,Meta Quest 3,participant,auto,,
R-20260719-091426-075509FD,Meta Quest 3,participant,auto,,
R-20260719-092039-C2ECB570,Meta Quest 3,participant,auto,,
R-20260803-131118-25C444A0,Meta Quest 3,participant,auto,,
R-20260803-202931-74AE8E33,Meta Quest 3,participant,auto,,
R-20260803-203352-78E56646,Meta Quest 3,participant,auto,,
R-20260803-203819-9150C5FD,Meta Quest 3,participant,auto,,
R-20260803-204306-D213B70C,Meta Quest 3,participant,auto,,
R-20260803-204802-7FB9A22F,Meta Quest 3,participant,auto,,
R-20260803-205226-5A31D015,Meta Quest 3,participant,auto,,
R-20260804-075724-00D9EA4C,Meta Quest 3,participant,auto,,
R-20260804-080250-4C74E07B,Meta Quest 3,participant,auto,,
R-20260719-084347-6A9321AA,Meta Quest 3,participant,auto,,
R-20260719-085111-17A32D03,Meta Quest 3,participant,auto,,
R-20260719-085745-B9C21BFE,Meta Quest 3,participant,auto,,
R-20260719-090312-64B30C1F,Meta Quest 3,demonstration,auto,,
R-20260719-091012-4EAD5CB0,Meta Quest 3,participant,auto,,
R-20260719-091622-92127A6F,Meta Quest 3,participant,auto,,
R-20260719-092328-65D9D1AB,Meta Quest 3,participant,auto,,
R-20260719-093012-4EB0A2D2,Meta Quest 3,participant,auto,,
R-20260804-072904-22984449,Meta Quest 3,participant,auto,,
R-20260804-075051-71E20E02,Meta Quest 3,participant,auto,,
R-20260804-075716-FEF7CC7F,Meta Quest 3,participant,auto,,
R-20260718-112557-9DE59B9C,Meta Quest 2,researcher_test,auto,,
R-20260719-084613-4586B311,Meta Quest 2,participant,auto,,
R-20260719-085239-4D3DEBEA,Meta Quest 2,participant,auto,,
R-20260719-085900-73ECF5ED,Meta Quest 2,participant,auto,,
R-20260719-090440-0D27E24A,Meta Quest 2,participant,auto,,
R-20260719-091010-9B74A915,Meta Quest 2,participant,auto,,
R-20260719-091544-33DEDFD3,Meta Quest 2,participant,auto,,
